x,y,z,pr,pg,pb,vr,vg,vb
8643.056640625,1829.513671875,41619.12890625,0.10196078431372549,0.89803921568627454,1.0,0.63137254901960782,0.36862745098039218,1.0
8645.77734375,1860.9027099609375,41620.91796875,0.094117647058823528,0.90588235294117647,1.0,0.38039215686274508,0.61960784313725492,1.0
8562.578125,1836.4642333984375,41691.3515625,0.0078431372549019607,0.99215686274509807,1.0,0.58039215686274503,0.41960784313725497,1.0
8684.3134765625,1877.132568359375,41568.953125,0.29803921568627451,0.70196078431372544,1.0,0.40784313725490196,0.59215686274509804,1.0
8680.5185546875,1867.218994140625,41578.2265625,0.28627450980392155,0.71372549019607845,1.0,0.41960784313725491,0.58039215686274503,1.0
8796.5556640625,1581.28466796875,41606.46484375,0.0039215686274509803,0.99607843137254903,1.0,0.39215686274509803,0.60784313725490202,1.0
8571.4833984375,1643.84033203125,41575.91796875,0.0039215686274509803,0.99607843137254903,1.0,0.30196078431372547,0.69803921568627447,1.0
8683.357421875,1656.48779296875,41537.6796875,0.019607843137254902,0.98039215686274506,1.0,0.35686274509803922,0.64313725490196072,1.0
8546.001953125,1883.98828125,41613.83203125,0.023529411764705882,0.97647058823529409,1.0,0.396078431372549,0.60392156862745106,1.0
8651.8544921875,1893.6529541015625,41577.921875,0.12941176470588234,0.87058823529411766,1.0,0.42352941176470588,0.57647058823529407,1.0
8684.365234375,1886.0599365234375,41638.63671875,0.082352941176470587,0.91764705882352937,1.0,0.1803921568627451,0.81960784313725488,1.0
8638.234375,1775.0933837890625,41527.6328125,0.25882352941176467,0.74117647058823533,1.0,0.58823529411764708,0.41176470588235292,1.0
8704.296875,1791.1343994140625,41526.796875,0.6470588235294118,0.3529411764705882,1.0,0.24705882352941178,0.75294117647058822,1.0
8712.9814453125,1806.28857421875,41518.6015625,0.82745098039215681,0.17254901960784319,1.0,0.32549019607843138,0.67450980392156867,1.0
8700.15234375,1793.4771728515625,41546.91015625,0.51764705882352935,0.48235294117647065,1.0,0.16862745098039217,0.83137254901960778,1.0
