x,y,z,pr,pg,pb,vr,vg,vb
40282.4921875,2882.6689453125,28145.615234375,1.0,0.92549019607843142,0.074509803921568585,1.0,0.70196078431372544,0.29803921568627456
40311.03515625,2847.04931640625,28151.89453125,1.0,1.0,0.0,1.0,0.70980392156862748,0.29019607843137252
40288.33984375,2857.12451171875,28154.2109375,1.0,0.95294117647058818,0.04705882352941182,1.0,0.5607843137254902,0.4392156862745098
40284.60546875,2855.0634765625,28147.208984375,1.0,0.93333333333333335,0.066666666666666652,1.0,0.61960784313725492,0.38039215686274508
40297.63671875,2855.015625,28129.09375,1.0,0.97647058823529409,0.02352941176470591,1.0,0.53333333333333333,0.46666666666666667
40327.16015625,2879.792724609375,28115.14453125,1.0,0.66666666666666663,0.33333333333333337,1.0,0.69019607843137254,0.30980392156862746
40305.33984375,2881.736083984375,28110.09375,1.0,0.72941176470588232,0.27058823529411768,1.0,0.6470588235294118,0.3529411764705882
40232.25390625,2968.050048828125,28153.900390625,1.0,0.25490196078431371,0.74509803921568629,1.0,0.71372549019607845,0.28627450980392155
40276.72265625,2868.03857421875,28106.30078125,1.0,0.58823529411764708,0.41176470588235292,1.0,0.5490196078431373,0.4509803921568627
40279.48828125,2882.839111328125,28154.57421875,1.0,0.89411764705882346,0.10588235294117654,1.0,0.6588235294117647,0.3411764705882353
40271.140625,2867.298095703125,28149.15234375,1.0,0.80392156862745101,0.19607843137254899,1.0,0.72549019607843135,0.27450980392156865
40215.93359375,2948.330078125,28110.767578125,1.0,0.098039215686274508,0.90196078431372551,1.0,0.70588235294117641,0.29411764705882359
40264.09375,2882.967529296875,28104.28515625,1.0,0.4392156862745098,0.5607843137254902,1.0,0.65490196078431373,0.34509803921568627
40196.1328125,3139.965087890625,28287.904296875,1.0,0.039215686274509803,0.96078431372549022,1.0,0.0,1.0
40223.484375,3058.68798828125,28307.7578125,1.0,0.019607843137254902,0.98039215686274506,1.0,0.97647058823529409,0.02352941176470591
40291.4453125,2866.17919921875,28114.97265625,1.0,0.80784313725490198,0.19215686274509802,1.0,0.48627450980392156,0.51372549019607838
40322.45703125,2871.71923828125,28131.181640625,1.0,0.87058823529411766,0.12941176470588234,1.0,0.73725490196078436,0.26274509803921564
40288.7578125,2922.406494140625,28127.783203125,1.0,0.6588235294117647,0.3411764705882353,1.0,0.63921568627450975,0.36078431372549025
40331.30078125,2865.976318359375,28162.47265625,1.0,0.77647058823529413,0.22352941176470587,1.0,0.7803921568627451,0.2196078431372549
40163.140625,3041.6328125,28216.583984375,1.0,0.078431372549019607,0.92156862745098045,1.0,0.23921568627450979,0.76078431372549016
40207.73046875,2856.754638671875,28305.208984375,1.0,0.054901960784313725,0.94509803921568625,1.0,0.96078431372549022,0.039215686274509776
40192.76953125,2943.3857421875,28209.818359375,1.0,0.086274509803921567,0.9137254901960784,1.0,0.53725490196078429,0.46274509803921571
40264.2734375,2864.3505859375,28266.396484375,1.0,0.074509803921568626,0.92549019607843142,1.0,0.51764705882352935,0.48235294117647065
40340.25,3016.708740234375,28141.376953125,1.0,0.039215686274509803,0.96078431372549022,1.0,0.3411764705882353,0.6588235294117647
40394.08984375,2914.0908203125,28177.34375,1.0,0.050980392156862744,0.94901960784313721,1.0,0.5725490196078431,0.4274509803921569
40337.24609375,2884.1064453125,28199.3359375,1.0,0.40392156862745099,0.59607843137254901,1.0,0.64313725490196072,0.35686274509803928
40201.73046875,3163.516357421875,28243.30859375,1.0,0.031372549019607843,0.96862745098039216,1.0,0.34901960784313724,0.65098039215686276
40329.3125,2891.2177734375,28187.0,1.0,0.5490196078431373,0.4509803921568627,1.0,0.074509803921568626,0.92549019607843142
40152.04296875,3064.696044921875,28216.798828125,1.0,0.066666666666666666,0.93333333333333335,1.0,0.31764705882352939,0.68235294117647061
40320.28515625,2859.692626953125,28200.708984375,1.0,0.52549019607843139,0.47450980392156861,1.0,0.6705882352941176,0.3294117647058824
40321.08984375,2849.331787109375,28196.892578125,1.0,0.55294117647058827,0.44705882352941173,1.0,0.57647058823529407,0.42352941176470593
40318.44921875,2894.2607421875,28130.74609375,1.0,0.76862745098039209,0.23137254901960791,1.0,0.74117647058823533,0.25882352941176467
40298.45703125,2911.0712890625,28146.81640625,1.0,0.81960784313725488,0.18039215686274512,1.0,0.57647058823529407,0.42352941176470593
40319.7578125,2876.735107421875,28157.904296875,1.0,0.88235294117647056,0.11764705882352944,1.0,0.50196078431372548,0.49803921568627452
40319.59765625,2879.348388671875,28141.12109375,1.0,0.8901960784313725,0.1098039215686275,1.0,0.44313725490196076,0.55686274509803924
40339.51953125,2883.036376953125,28177.98828125,1.0,0.53333333333333333,0.46666666666666667,1.0,0.57647058823529407,0.42352941176470593
40158.515625,3285.206298828125,28162.9921875,1.0,0.0,1.0,1.0,0.42745098039215684,0.5725490196078431
40320.86328125,3074.888671875,28289.43359375,1.0,0.015686274509803921,0.98431372549019613,1.0,0.52549019607843139,0.47450980392156861
40230.9453125,2826.009765625,28155.93359375,1.0,0.1803921568627451,0.81960784313725488,1.0,0.61960784313725492,0.38039215686274508
40336.6328125,3038.6376953125,28225.19921875,1.0,0.039215686274509803,0.96078431372549022,1.0,0.63921568627450975,0.36078431372549025
40368.78125,2737.9541015625,28083.90625,1.0,0.24705882352941178,0.75294117647058822,1.0,0.58039215686274503,0.41960784313725497
40348.40234375,2784.7353515625,28094.033203125,1.0,0.46274509803921571,0.53725490196078429,1.0,0.36078431372549019,0.63921568627450975
40409.6953125,2804.756103515625,28033.291015625,1.0,0.050980392156862744,0.94901960784313721,1.0,0.38431372549019605,0.61568627450980395
40323.66015625,2690.5126953125,28135.8203125,1.0,0.14509803921568626,0.8549019607843138,1.0,0.3411764705882353,0.6588235294117647
40378.9921875,2731.763916015625,28124.228515625,1.0,0.23137254901960785,0.76862745098039209,1.0,0.54509803921568623,0.45490196078431377
40420.54296875,2747.8671875,28122.3203125,1.0,0.074509803921568626,0.92549019607843142,1.0,0.63529411764705879,0.36470588235294121
40278.9375,2814.748046875,28121.96484375,1.0,0.59999999999999998,0.40000000000000002,1.0,0.59215686274509804,0.40784313725490196
